GPS Coordinates									
North Coor	East Coor	<--		for concat	     -->	Concat coordinate		Distances							
5610.33763	1011.32318	56	10.33763	10	11.32318	56 10.33763 10 11.32318			4
5610.33961	1011.32525	56	10.33961	10	11.32525	56 10.33961 10 11.32525			0
5610.34002	1011.32562	56	10.34002	10	11.32562	56 10.34002 10 11.32562			0
5610.33964	1011.32439	56	10.33964	10	11.32439	56 10.33964 10 11.32439			0
5610.3393	1011.3239	56	10.33930	10	11.32390	56 10.33930 10 11.32390			0
5610.33879	1011.3239	56	10.33879	10	11.32390	56 10.33879 10 11.32390			2
5610.33819	1011.32409	56	10.33819	10	11.32409	56 10.33819 10 11.32409			3
5610.33756	1011.33048	56	10.33756	10	11.33048	56 10.33756 10 11.33048			2
5610.33949	1011.33318	56	10.33949	10	11.33318	56 10.33949 10 11.33318			3
5610.3414	1011.33514	56	10.34140	10	11.33514	56 10.34140 10 11.33514			6
5610.33938	1011.33357	56	10.33938	10	11.33357	56 10.33938 10 11.33357			2
5610.34063	1011.33488	56	10.34063	10	11.33488	56 10.34063 10 11.33488			5
5610.34267	1011.33674	56	10.34267	10	11.33674	56 10.34267 10 11.33674			9
5610.34127	1011.33684	56	10.34127	10	11.33684	56 10.34127 10 11.33684			6
5610.34115	1011.33462	56	10.34115	10	11.33462	56 10.34115 10 11.33462			6
5610.34051	1011.34777	56	10.34051	10	11.34777	56 10.34051 10 11.34777			8
5610.34184	1011.34228	56	10.34184	10	11.34228	56 10.34184 10 11.34228			9
5610.33807	1011.34133	56	10.33807	10	11.34133	56 10.33807 10 11.34133			2
5610.33705	1011.34126	56	10.33705	10	11.34126	56 10.33705 10 11.34126			0
5610.33725	1011.34129	56	10.33725	10	11.34129	56 10.33725 10 11.34129			0
5610.3408	1011.34547	56	10.34080	10	11.34547	56 10.34080 10 11.34547			8
5610.34172	1011.33141	56	10.34172	10	11.33141	56 10.34172 10 11.33141			6
5610.34131	1011.33219	56	10.34131	10	11.33219	56 10.34131 10 11.33219			5
5610.33849	1011.33656	56	10.33849	10	11.33656	56 10.33849 10 11.33656			0
5610.34094	1011.33398	56	10.34094	10	11.33398	56 10.34094 10 11.33398			5
5610.33933	1011.3318	56	10.33933	10	11.33180	56 10.33933 10 11.33180			2
5610.33842	1011.33087	56	10.33842	10	11.33087	56 10.33842 10 11.33087			0
5610.33846	1011.32946	56	10.33846	10	11.32946	56 10.33846 10 11.32946			0
5610.33817	1011.32852	56	10.33817	10	11.32852	56 10.33817 10 11.32852			0
5610.33817	1011.32837	56	10.33817	10	11.32837	56 10.33817 10 11.32837			0
5610.33775	1011.32817	56	10.33775	10	11.32817	56 10.33775 10 11.32817			2
5610.33754	1011.32854	56	10.33754	10	11.32854	56 10.33754 10 11.32854			3
5610.33717	1011.32862	56	10.33717	10	11.32862	56 10.33717 10 11.32862			3
5610.33675	1011.3285	56	10.33675	10	11.32850	56 10.33675 10 11.32850			4
5610.33624	1011.32779	56	10.33624	10	11.32779	56 10.33624 10 11.32779			5
5610.3361	1011.32763	56	10.33610	10	11.32763	56 10.33610 10 11.32763			5
5610.33581	1011.32732	56	10.33581	10	11.32732	56 10.33581 10 11.32732			6
5610.33559	1011.3272	56	10.33559	10	11.32720	56 10.33559 10 11.32720			6
5610.33559	1011.3272	56	10.33559	10	11.32720	56 10.33559 10 11.32720			6

